Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2018,,,,,,,
Lfd.-Nr.,Einrichtung,Straße,PLZ,Wärmemedium,Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
1,Barnim-Schule,Ahrensfelder Chaussee 41,13057,Fernwärme,"1,336,829","259,284",
2,Schule am Fennpfuhl,Alfred-Jung-Straße 19,10369,Fernwärme,"332,902","60,886",Wärme- und Stromversorgung für mehrere Gebäude - 
3,Bürogebäude,Alfred-Kowalke-Str. 24,10315,Fernwärme,"418,156","69,230",
4,Trafostation Gewerbezentrum,Allee der Kosmonauten 16,10315,-,-,"226,482",Stromversorgung für mehrere Gebäude
5,Garage,Allee der Kosmonauten 20-22,10315,-,-,"7,090",
6,Sporthalle,Allee der Kosmonauten 22 A,10315,Fernwärme,"198,384","26,332",
7,Adam-Ries-Schule,Alt-Friedrichsfelde 66,10315,Fernwärme,"586,269","87,960",
8,Sporthalle,Am Berl 21,13051,Fernwärme,"234,006","26,945",
9,Martin-Niemöller-Schule,Am Breiten Luch 5,13053,Fernwärme,"422,013","66,950",
10,Schule Am Breiten Luch,Am Breiten Luch 19,13053,Fernwärme,-,"7,440",Wärmeversorgung aus anderem Gebäude - 
11,Schule Am Breiten Luch,Am Breiten Luch 19,13053,Fernwärme,"678,111","39,500",Wärmeversorgung für mehrere Gebäude - 
12,Tennisplatz,Am Gutspark 5 (Bornitzstr. 17),10367,-,-,"5,652",
13,Brunnen,Am Stadtpark (Kielblockstr. 1),10367,-,-,"1,250",
14,Alexander-Puschkin-Schule,Am Tierpark 19,10315,Fernwärme,"133,145","15,229",
15,Sporthalle,Anton-Saefkow-Platz 5,10369,Fernwärme,"67,664","35,586",
16,Brunnen,Anton-Saefkow-Platz,10369,-,-,"41,000",
17,Anton-Saefkow-Bibliothek,Anton-Saefkow-Platz 14,10369,-,-,"55,497",angemietet
18,Schule auf dem lichten Berg,Atzpodienstr.19,10365,Fernwärme,"410,888","62,463",
19,Jugendverkehrsschule,Baikalstr. 4,10319,Fernwärme,"149,465","5,258",
20,Schule im Ostseekarree,Barther Str. 27,13051,Fernwärme,"397,370","54,500",
21,Schule am Roedernplatz,Bernhard-Bästlein-Str. 22,10367,Fernwärme,"509,559","58,700",
22,Schule am Roedernplatz,Bernhard-Bästlein-Str. 22,10367,Fernwärme,"97,409","17,061",
23,Hans-Rosenthal-Grundschule,Bernhard-Bästlein-Str. 56,10367,Fernwärme,"487,045","57,720",
24,Sportfunktionsgebäude,Bornitzstr. 83,10365,Erdgas H,"89,577","23,423",
25,Brunnen,"Charlottenstr.,  Alfred-Kowalke-Str. 8002, Köpitzer Str. ",10315,-,-,"1,237",
26,Sportfunktionsgebäude,Coppistr. 8,10365,Fernwärme,"40,083","11,799",
27,JFE,Degner Str. 40,13053,Erdgas H,"67,999","9,542",
28,Schule Am Faulen See,Degner Str. 71-77,13053,Erdgas H,"636,095","79,957",
29,Tbc-Fürsorgestelle,Deutschmeisterstraße 24,10367,-,-,"26,643",angemietet
30,Filiale Grüner Campus Malchow,Doberaner Str. 53,13051,Fernwärme,-,"60,150",Wärmeversorgung aus anderem Gebäude - 
31,Filiale Grüner Campus Malchow,Doberaner Str. 55,13051,Fernwärme,"942,796","55,900",Wärmeversorgung für mehrere Gebäude - 
32,Filiale Grüner Campus Malchow,Doberaner Str. 58,13051,Fernwärme,"247,125","28,345",
33,Filiale Grüner Campus Malchow,Doberaner Str. 58,13051,-,-,541,
34,JFE BetonOase,Dolgenseestr. 11a,10319,Fernwärme,"12,186","5,224",Abriss 2018
35,Immanuel-Kant-Gymnasium,Dolgenseestr. 42,10319,Fernwärme,"186,321","6,710",
