Energieverbrauchsdaten der bezirklichen Abnahmestellen im Jahr 2019 - Lichtenberg,,,,,,,
(Änderungen vorbehalten),,,,,,,
Lfd.-Nr.,Einrichtung,Straße,PLZ,Wärmemedium,Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
1,Schule am Fennpfuhl,Alfred-Jung-Straße 19,10369,Fernwärme,"291,041","49,950",Wärme- und Stromversorgung für mehrere Gebäude - 
2,Schule am Fennpfuhl,Alfred-Jung-Straße 19,10369,Fernwärme,"291,041","49,950",Wärme- und Stromversorgung für mehrere Gebäude - 
3,Bürogebäude,Alfred-Kowalke-Str. 24,10315,Fernwärme,"403,555","72,427",
4,Garage,Allee der Kosmonauten 16,10315,-,-,"228,356",Stromversorgung für mehrere Gebäude
5,Schule,Allee der Kosmonauten 20-22,10315,-,-,"13,481",in Bau
6,Sporthalle,Allee der Kosmonauten 22 A,10315,Fernwärme,"103,981","17,488",
7,Adam-Ries-Schule,Alt-Friedrichsfelde 66,10315,Fernwärme,"545,253","98,080",
8,Sporthalle,Am Berl 21,13051,Fernwärme,"218,652","23,973",
9,Martin-Niemöller-Schule,Am Breiten Luch 5,13053,Fernwärme,"433,327","72,100",
10,Schule Am Breiten Luch,Am Breiten Luch 17,13053,Fernwärme,-,"4,743",Wärmeversorgung aus anderem Gebäude - 
11,Schule Am Breiten Luch,Am Breiten Luch 19,13053,Fernwärme,"580,132","44,650",Wärmeversorgung für mehrere Gebäude - 
12,Tennisplatz,Am Gutspark 5 (Bornitzstr. 17),10367,-,-,"5,479",
13,Brunnen,Stadtpark Kielblockstraße,10367,-,-,330,Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
14,Alexander-Puschkin-Schule,Am Tierpark 19,10315,Fernwärme,"128,753","13,901",
15,Sporthalle,Anton-Saefkow-Platz 5,10369,Fernwärme,"171,846","50,841",
16,Anton-Saefkow-Bibliothek,Anton-Saefkow-Platz 14,10369,-,-,"56,439",angemietet
17,Schule auf dem lichten Berg,Atzpodienstr.19,10365,Fernwärme,"401,303","70,850",
18,Jugendverkehrsschule,Baikalstr. 4,10319,Fernwärme,"144,361","3,985",
19,Schule im Ostseekarree,Barther Str. 27,13051,Fernwärme,"378,549","55,950",
20,Schule am Roedernplatz,Bernhard-Bästlein-Str. 22,10367,Fernwärme,"499,973","59,600",
21,Schule am Roedernplatz,Bernhard-Bästlein-Str. 22,10367,Fernwärme,"101,346","18,794",
22,Hans-Rosenthal-Grundschule,Bernhard-Bästlein-Str. 56,10367,Fernwärme,"378,625","38,640",
23,Sportfunktionsgebäude,Bornitzstr. 83,10365,Erdgas H,"83,557","26,132",
24,Sportfunktionsgebäude,Coppistr. 8,10365,Fernwärme,"40,320","8,988",
25,"""Die Arche""",Degner Str. 40,13053,Erdgas H,"61,866","11,264",
26,Schule Am Faulen See,Degner Str. 71-77,13053,Erdgas H,"445,852","88,750",
27,Tbc-Fürsorgestelle,Deutschmeisterstr 24_Parkaue 3-9(181039),10367,-,-,"28,149",angemietet
28,Filiale Grüner Campus Malchow,Doberaner Str. 53,13051,Fernwärme,-,"60,850",Wärmeversorgung aus anderem Gebäude - 
29,Filiale Grüner Campus Malchow,Doberaner Str. 55,13051,Fernwärme,"856,790","47,550",Wärmeversorgung für mehrere Gebäude - 
30,Filiale Grüner Campus Malchow,Doberaner Str. 58,13051,Fernwärme,"236,680","34,150",
31,Filiale Grüner Campus Malchow,Doberaner Str. 58,13051,-,-,630,
32,Immanuel-Kant-Gymnasium,Dolgenseestr. 42,10319,Fernwärme,"117,071","9,660",
33,Sportfunktionsgebäude,Dolgenseestr. 42,10319,Fernwärme,"64,589","27,299",
34,Fil. Paul-und Charlotte-Kniese-Schule,Dolgenseestr. 60,10319,Fernwärme,"563,194","134,320",
35,Fil. Paul-und Charlotte-Kniese-Schule,Dolgenseestr. 60,10319,Fernwärme,-,"20,500",
36,"""Betonoase""",Dolgenseestr. 60 A,10319,Fernwärme,"39,590","7,913",
37,Naturschutzstation,Dorfstr. 35,13051,Erdgas H,"62,684",-,vermietet
38,Gut Falkenberg,Dorfstr. 36,13057,Erdgas H,-,"26,932",
39,Sporthalle,Edgarstr. 2,13053,Fernwärme,"185,622","16,534",
40,Gebäude,Egon-Erwin-Kisch-Straße 32,13059,Fernwärme,"69,760","1,391",
41,Gebäude,Egon-Erwin-Kisch-Straße 12,13059,Fernwärme,"36,657",-,vermietet
42,Bürogebäude,Egon-Erwin-Kisch-Str. 106,13059,Fernwärme,"138,518","70,000",
43,Richard-Wagner-Schule,Ehrenfelsstr. 36,10318,Erdgas H,"459,057","64,100",Wärmeversorgung für mehrere Gebäude - 
44,Richard-Wagner-Schule,Ehrenfelsstr. 36,10318,Strom-Mix,-,"29,820",Wärmeversorgung aus anderem Gebäude - 
45,JFE,Erich-Kurz-Straße 4a,10319,Fernwärme,"539,234",-,vermietet
46,Bodo-Uhse-Bibliothek,Erich-Kurz-Straße 9,10319,-,-,"54,100",angemietet
47,Paul-und-Charlotte-Kniese-Schule,Erich-Kurz-Str. 6-10,10319,Fernwärme,"918,073","316,859",
48,Paul-und-Charlotte-Kniese-Schule,Erich-Kurz-Str. 6-10,10319,Fernwärme,"69,372","21,114",
49,JFE “Tierparkclub / Naturzentrum“,Erieseering 4-6,10319,Fernwärme,"203,970","25,150",
50,Sporthalle,Falkenberger Chaussee 160,13057,Erdgas H,-,376,
51,Sportfunktionsgebäude,Fennpfuhlweg 53,13059,Erdgas H,"181,106","47,291",
52,Sportfunktionsgebäude,Fischerstr. 15,10317,Erdgas H,"110,978","41,998",
53,Egon-Erwin-Kisch-Bibliothek,Frankfurter Allee 149,10365,-,-,"45,150",angemietet
54,Keramikatelier ,Frankfurter Allee 203,10365,-,-,"19,940",angemietet
55,Sonnenuhr-Schule,Franz-Jacob-Str. 33,10369,Fernwärme,"319,544","56,600",
56,Johann-Gottfried-Herder-Gymnasium,Franz-Jacob-Str. 8,10369,Fernwärme,"501,543","106,050",
57,Alexander-Puschkin-Schule,Franz-Mett-Str. 18,10319,Fernwärme,"78,780","8,093",
58,Kapelle,Gärtnerstr. 7,13053,-,-,1,
59,Gebäude,Gensinger Str. 105,10315,Fernwärme,"60,858","2,487",
60,Sporthalle,Gensinger Str. 56,10315,Fernwärme,"84,353","14,351",
61,Ausbildungsgebäude,Gotlindestr. 80,10365,Erdgas H,"76,933","3,307",
62,JFE “Leo’s Hütte”,Grevesmühlener Str. 43,13059,Fernwärme,"51,822","6,166",
63,Bürogebäude,Große-Leege-Str. 103,13055,Fernwärme,"714,705","349,385",
64,Gebäude,Gudrunstr. 7-20,10365,Erdgas H,"319,356","10,861",
65,Schule auf dem lichten Berg,Hagenstr. 26,10365,Fernwärme,"95,942","15,171",
66,Hermann-Gmeiner-Schule,Harnackstr. 17,10365,Fernwärme,"509,508","37,800",Wärmeversorgung für mehrere Gebäude - 
67,Hermann-Gmeiner-Schule,Harnackstr. 25,10365,Fernwärme,-,"40,800",Wärmeversorgung aus anderem Gebäude - 
68,Sportplatz und JFE “Napf” ,Hauffstr. 13-20,10317,Erdgas H,"103,527","37,329",
69,Schule am Grünen Grund,Herzbergstr. 79,10365,Flüssiggas,"6,284","18,895",
70,Sportfunktionsgebäude,Hohenschönhauser Str. 76,10369,Flüssiggas,"22,192","6,573",
71,Schule im Gutspark,Josef-Orlopp-Str. 20,10367,Fernwärme,"320,411","73,050",
72,Seniorenbegegnungsstätte,Judith-Auer-Straße 8,10369,-,-,"5,592",vermietet
73,Brunnen,Stadtpark Kielblockstraße,10367,-,-,330,Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
74,Sporthalle,Klützer Str. 36,13059,Fernwärme,"345,206","11,012",
75,34. Grundschule,Konrad-Wolf-Str. 11,13055,Fernwärme,"61,726","33,236",Stromversorgung für mehrere Gebäude - 
76,Sporthalle,Konrad-Wolf-Str. 11,13055,Fernwärme,"38,848",-,Stromversorgung aus anderem Gebäude - 
77,Galerie 100 und Kunstverleih Lichtenberg ,Konrad-Wolf-Str. 99,13055,-,-,"2,940",angemietet
78,Brunnen,Fennpfuhlpark Landsberger Allee,10369,-,-,"20,850",
79,Manfred-von-Ardenne-Gymnasium,Leuenberger Str. 5,13055,Fernwärme,"154,076","9,136",
80,Brodowin-Schule,Liebenwalder Str. 22,13055,Fernwärme,"523,182","73,923",
81,Brodowin-Schule,Liebenwalder Str. 22,13055,Fernwärme,"137,539","34,116",
82,Gebäude,Liepnitzstr. 33-37,10318,Erdgas H,"51,865","3,292",
83,Friedrichsfelder Schule,Lincolnstr. 67,10315,Fernwärme,"310,221","67,150",
84,Karlshorster Schule,Lisztstr. 6,10318,Fernwärme,"439,050","85,700",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
85,Karlshorster Schule,Lisztstr. 6,10318,Fernwärme,"116,921","28,584",
86,Immanuel-Kant-Gymnasium,Lückstr. 63,10317,Fernwärme,"589,464","38,750",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
87,Grüner Campus Malchow,Malchower Chaussee 2,13053,Erdgas H,"257,418","50,615",
88,Grüner Campus Malchow,Malchower Chaussee 2,13053,Strom-Mix,-,"11,164",
89,"Kita, fr. Tr.",Malchower Weg 46,13053,-,-,"21,750",vermietet
90,Paul-Schmidt-Schule,Malchower Weg 54,13053,Erdgas H,"945,371","38,154",
91,Paul-Schmidt-Schule,Malchower Weg 54,13053,Strom-Mix,-,161,
92,Jugendverkehrsschule,Malchower Weg 66,13053,Erdgas H,"45,111","2,634",
93,Alexander-Puschkin-Schule,Massower Str. 37,10315,Fernwärme,"795,994","94,750",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
94,Bürgermeister-Ziethen-Schule,Massower Str. 39,10315,Fernwärme,-,"53,250",Wärmeversorgung aus anderem Gebäude - Stromversorgung für mehrere Gebäude -  - 
95,Bürgermeister-Ziethen-Schule,Massower Str. 39,10315,Fernwärme,"60,173",-,Stromversorgung aus anderem Gebäude - 
96,Notstromtrafo,Möllendorffstr. 5,10367,-,-,"2,085",
97,Bürogebäude,Möllendorffstr. 6,10367,Fernwärme,"417,618","124,692",
98,Vereinshaus,Neustrelitzer Straße 63,13055,Fernwärme,"56,794","8,725",
99,Sportfunktionsgebäude,Neustrelitzer Str. 61,13055,Fernwärme,"51,860","15,591",
100,Schule an der Victoriastadt,Nöldnerstr. 44,10317,Fernwärme,"614,653","106,900",
101,Bürgeramt,Normannenstraße 1-2,10367,-,-,"30,868",angemietet
102,Gebäude,Oberseestr. 60,13053,Erdgas H,"65,981","3,900",
103,Brunnen,Oberseestraße 5,13053,-,-,"25,167",
104,Bürogebäude,Oberseestr. 98,13053,Erdgas H,"138,528","25,650",
105,Nils-Holgersson-Schule,Otto - Marquardt- Str. 14,10369,Fernwärme,"579,504","217,041",
106,Nils-Holgersson-Schule,Otto - Marquardt- Str. 14,10369,Fernwärme,"24,100",-,
107,Bürgeramt,Otto-Schmirgal-Str. 1-7,10319,-,-,"29,377",angemietet
108,n.n.,Paul-Junius-Str. 69,10369,Fernwärme,-,"23,310",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - Leerstand
109,Carl-von-Linné-Schule,Paul-Junius-Str. 15,10367,Fernwärme,"1,758,691","474,849",
110,Fil. Manfred-von-Ardenne-Gymnasium,Paul-Junius-Str. 25-27,10369,Fernwärme,"441,848","35,120",Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  - 
111,Sporthalle,Paul-Junius-Str. 25-27,10369,Fernwärme,"128,040",-,Stromversorgung aus anderem Gebäude - 
112,Margarete-Steffin-Volkshochschule,Paul-Junius-Str. 71,10369,Fernwärme,"473,441","83,834",
113,Gebäude,Paul-Junius-Str. 73,10369,Fernwärme,"122,757","10,294",
