Lfd.-Nr.,Einrichtung,Straße,PLZ,Wärmemedium,"Wärmeverbrauch
witterungsbereinigt [kWh]",Stromverbrauch [kWh],Bemerkungen
1,Barnim-Schule,"Ahrensfelder Chaussee 41, Schule (Geb. A)",13057,Fernwärme,"1,251,402","192,331","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
2,Schule am Fennpfuhl,"Alfred-Jung-Str. 19, Schule (Geb. A)",10369,Fernwärme,"236,064","27,350","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
3,Bürodienstgebäude,"Alfred-Kowalke-Str. 24, Bürogebäude",10315,Fernwärme,"422,276","72,073",
4,"Allee der Kosmonauten 16, Garage/Trafo","Allee der Kosmonauten 16, Garage/Trafo",10315,-,-,"239,774",Stromversorgung für mehrere Gebäude
5,Adam-Ries-Schule,"Alt-Friedrichsfelde 66, Schule (Geb. A)",10315,Fernwärme,"559,097","76,880","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
6,"Am Berl 21, Sporthalle","Am Berl 21, Sporthalle",13051,Fernwärme,"82,606",-,vermietet
7,Martin-Niemöller-Schule,"Am Breiten Luch 5, Schule (Geb. A)",13053,Fernwärme,"543,002","61,650","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
8,Schule Am Breiten Luch,"Am Breiten Luch 17, MZG (Geb. C)",13053,Fernwärme,-,"7,641","Wärmeversorgung aus anderem Gebäude -
Grundinstandsetzung"
9,Schule Am Breiten Luch,"Am Breiten Luch 19, Schule (Geb. A)",13053,Fernwärme,"540,114","39,000","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
10,"Am Gutspark 5 (Bornitzstr. 17), Tennisplatz","Am Gutspark 5 (Bornitzstr. 17), Tennisplatz",10367,-,-,"3,497",
11,"Stadtpark Kielblockstr., Brunnen","Stadtpark Kielblockstr., Brunnen",10367,-,-,526,
12,Alexander-Puschkin-Schule,"Am Tierpark 19, Sporthalle (Geb. A)",10315,Fernwärme,"119,786","9,449",
13,"Anton-Saefkow-Platz 5, Sporthalle","Anton-Saefkow-Platz 5, Sporthalle",10369,Fernwärme,"178,917","63,351",
14,"Anton-Saefkow-Platz, Brunnen","Anton-Saefkow-Platz, Brunnen",10369,-,-,"4,350",
15,Anton-Saefkow-Bibliothek,"Anton-Saefkow-Platz 14, Bibliothek",10369,-,-,"43,925",angemietet
16,Schule auf dem lichten Berg,"Atzpodienstr.19, Schule (Geb. A)",10365,Fernwärme,"441,541","93,300","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
17,Jugendverkehrsschule,"Baikalstr. 4, Schule",10319,Fernwärme,"145,536","4,697",
18,Schule im Ostseekarree,"Barther Str. 27, Schule (Geb. A)",13051,Fernwärme,"442,244","46,450","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
19,Schule am Roedernplatz,"Bernhard-Bästlein-Str. 22, Schule (Geb. A)",10367,Fernwärme,"519,167","51,250","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
20,Schule am Roedernplatz,"Bernhard-Bästlein-Str. 22, MEB (Geb. C)",10367,Fernwärme,"108,273","17,515",
21,Hans-Rosenthal-Grundschule,"Bernhard-Bästlein-Str. 56, Schule (Geb. A)",10367,Fernwärme,"301,723","62,550","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
22,"Bornitzstr. 83, Sportfunktionsgebäude","Bornitzstr. 83, Sportfunktionsgebäude",10365,Erdgas H,"97,595","25,097",
23,"Charlottenstr.,  Alfred-Kowalke-Str. 8002, Köpitzer Str. ,
Brunnen","Charlottenstr.,  Alfred-Kowalke-Str. 8002, Köpitzer Str. ,
Brunnen",10315,-,-,10,
24,"Coppistr. 8, Sportfunktionsgebäude","Coppistr. 8, Sportfunktionsgebäude",10365,Fernwärme,"35,368","14,288",
25,"""Die Arche""","Degner Str. 40, JFE",13053,Erdgas H,"64,692","10,260",
26,Schule Am Faulen See,"Degner Str. 71-77, Schule (Geb. A)",13053,Erdgas H,"619,384","76,882","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
27,Tbc-Fürsorgestelle,"Deutschmeisterstr 24_Parkaue 3-9(181039), Tbc-
Fürsorgestelle",10367,-,-,"28,765",angemietet
28,Filiale Grüner Campus Malchow,"Doberaner Str. 53, Schule (Geb. C)",13051,Fernwärme,-,"53,400","Wärmeversorgung aus anderem Gebäude -
Stromversorgung für mehrere Gebäude -  -"
29,Filiale Grüner Campus Malchow,"Doberaner Str. 55, Schule (Geb. B)",13051,Fernwärme,"820,497","51,600","Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  -
Grundinstandsetzung der mitversorgten Sporthalle"
30,Filiale Grüner Campus Malchow,"Doberaner Str. 58, Schule (Geb. A)",13051,Fernwärme,"248,459","30,850",
31,Filiale Grüner Campus Malchow,"Doberaner Str. 58, Bungalow (Geb. I)",13051,-,-,670,
32,Immanuel-Kant-Gymnasium,"Dolgenseestr. 42, Sporthalle (Geb. A)",10319,Fernwärme,"133,247","7,907",Grundinstandsetzung
33,"Dolgenseestr. 42, Sportfunktionsgebäude","Dolgenseestr. 42, Sportfunktionsgebäude",10319,Fernwärme,"55,128","19,159",
34,Fil. Paul-und Charlotte-Kniese-Schule,"Dolgenseestr. 60, Schule (Geb. A)",10319,Fernwärme,"580,655","145,530","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
35,Fil. Paul-und Charlotte-Kniese-Schule,"Dolgenseestr. 60, MEB (Geb. C)",10319,Fernwärme,"141,296","34,500",
36,"""Betonoase""","Dolgenseestr. 60 A, JFE",10319,Fernwärme,"37,770","7,826",
37,Naturschutzstation Malchow,"Dorfstr. 35, Verwaltungsgebäude",13051,Erdgas H,"34,333",-,vermietet
38,"Edgarstr. 2, Sporthalle","Edgarstr. 2, Sporthalle",13053,Fernwärme,"174,931","11,416",
39,"Egon-Erwin-Kisch-Str. 32, Gebäude","Egon-Erwin-Kisch-Str. 32, Gebäude",13059,Fernwärme,"72,105","1,394",Teilnutzung (vermietet)
40,Bürodienstgebäude,"Egon-Erwin-Kisch-Str. 106, Bürogebäude",13059,Fernwärme,"149,147","65,900",
41,Richard-Wagner-Schule,"Ehrenfelsstr. 36, Schule (Geb. A)",10318,Erdgas H,"503,094","60,991","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
42,Richard-Wagner-Schule,"Ehrenfelsstr. 36, MEB (Geb. C)",10318,Strom-Mix,-,"29,278","Wärmeversorgung aus anderem Gebäude -
Wärmepumpe"
43,Janusch-Korschak-Heim,"Erich-Kurz-Str. 4a, Jugendwohnheim",10319,Fernwärme,"564,206",-,vermietet
44,Bodo-Uhse-Bibliothek,"Erich-Kurz-Str. 9, Bibliothek",10319,-,-,"42,350",angemietet
45,Paul-und-Charlotte-Kniese-Schule,"Erich-Kurz-Str. 6-10, Schule mit integrierter Sporthalle
(Geb. A)",10319,Fernwärme,"840,688","275,255","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
46,Paul-und-Charlotte-Kniese-Schule,"Erich-Kurz-Str. 6-10, MEB (Geb. C)",10319,Fernwärme,"70,300","14,147",
47,JFE “Tierparkclub / Naturzentrum“,"Erieseering 4-6, JFE",10319,Fernwärme,"208,821","22,800",
48,"Fennpfuhlweg 53, Sportfunktionsgebäude","Fennpfuhlweg 53, Sportfunktionsgebäude",13059,Erdgas H,"158,407","42,792",
49,"Fischerstr. 15, Sportfunktionsgebäude","Fischerstr. 15, Sportfunktionsgebäude",10317,Erdgas H,"105,181","30,258",
50,"Frankfurter Allee 144, Brunnen","Frankfurter Allee 144, Brunnen",10365,-,-,768,
51,Egon-Erwin-Kisch-Bibliothek,"Frankfurter Allee 149, Bibliothek",10365,-,-,"39,720",angemietet
52,"Frankfurter Allee 203, Keramikatelier","Frankfurter Allee 203, Keramikatelier",10365,-,-,"17,600",angemietet
53,Sonnenuhr-Schule,"Franz-Jacob-Str. 33, Schule (Geb. A)",10369,Fernwärme,"306,477","45,507","Wärmeversorgung für mehrere Gebäude -
Stromversorgung für mehrere Gebäude -  -"
54,Johann-Gottfried-Herder-Gymnasium,"Franz-Jacob-Str. 8, Schule (Geb. A)",10369,Fernwärme,"559,536","112,269","Wärmeversorgung für mehrere Gebäude - Stromversorgung für mehrere Gebäude -  -
Grundinstandsetzung der mitversorgten Sporthalle"
55,Alexander-Puschkin-Schule,"Franz-Mett-Str. 18, Sporthalle",10319,Fernwärme,"56,873","15,258",Grundinstandsetzung
56,"Gensinger Str. 105, Gebäude","Gensinger Str. 105, Gebäude",10315,Fernwärme,"32,911","7,826",
