Adresse,Namer der Einrichtung,PLZ,Wärmemedium,2018 Wärme,2018 Strom,2018 Gesamt,Kommentar
Achillesstr. 14,Jugendfreizeit,13125,Fernwärme,"106,157","52,251","158,408",
Achillesstr. 31,Grundschule im Panketal,13125,Fernwärme,"1,069,832","111,416","1,181,248",
Achillesstr. 77-79,Robert-Havemann-Schule,13125,Fernwärme,"2,188,937","575,404","2,764,341",Versorgung mehrerer Gebäude
Alt-Blankenburg 26,Grundschule unter den Bäumen,13129,Gas,"611,516","62,250","673,766",Versorgung mehrerer Gebäude
Am Bürgerpark 24,"Verwaltungsgebäude/Blumenhalle/
Feierhalle/Garagen",13156,ÖL,"206,535",-,"206,535",Strom wird nachgereicht
Am Schloßpark 20,"Musikschule, Hauptgebäude",13187,Gas,"182,558","30,400","212,958",
Amalienstr. 1,"Kita, fr. Tr.",13086,Gas,"101,578","17,221","118,799",Freier Träger
Amalienstr. 6-8,Grundschule am Weißen See,13086,Gas,"1,366,605","77,050","1,443,655",Versorgung mehrerer Gebäude
Amalienstr. 8,Standesamt,13086,Gas,-,"4,410","4,410",Wärmeversorgung über Amalienstr 6
Anton-Saefkow-Str. 33,Revier- /Gärtnerstützpunkt,10407,Gas,"32,853","9,352","42,205",Versorgung mehrerer Gebäude
Anton-Saefkow-Str. 8000,Brunnen Greifswalder Straße/Anton- Saefkow-Straße (Knabe mit Fisch),10407,,-,"9,008","9,008",Brunnen
Arnouxstr. 18,Schule am Birkenhof,13127,Fernwärme,"685,480","145,857","831,337","Versorgung mehrerer Gebäude (inkl.
Chemiegas)"
Bahnhofstr. 30 z,Wegebeleuchtung Grünanlage,13129,,-,"12,919","12,919",
Bahnhofstr. 32,Grundschule Alt-Karow,13129,Gas,"791,513","62,196","853,709",Versorgung mehrerer Gebäude
Bahnhofstr. 95z,MUR,13129,Strom,-,"34,604","34,604",SGA wird über Strom beheizt?!
Bedeweg 1,Grundschule am Hohen Feld,13125,Fernwärme,,,ü. anderes OB,Versorgung über Achilles Str 77/79
Belforter Str. 8000,"Wasserturm Belforter Straße
(Großer Wasserspeicher)",10405,,-,525,525,Brunnen
Berliner Allee 100,Dienstgebäude,13088,Gas,"672,435","22,320","694,755",
Berliner Allee 252-260,Dienstgebäude,13088,Fernwärme,"1,087,603","317,579","1,405,182",Versorgung mehrerer Gebäude
Berliner Allee 8000,Brunnen,13088,,-,516,516,Brunnen
Binzstr. 61c,Sportfunktionsgebäude,13189,Fernwärme,"122,978","8,366","131,344",
Bizetstr. 27,Weiterbildung/Musikschule,13189,Fernwärme,"90,746","46,651","137,397",Wärmeversorgung offen
Blankenfelder Str. 106,Spielhaus,13127,Fernwärme,"16,088","4,506","20,594",
Blankenfelder Str. 50,Jugendfreizeit,13127,Fernwärme,"63,185","10,785","73,970",
Borkumstr. 13,Rosa-Luxemburg-Gymnasium,13189,Fernwärme,-,"16,730","16,730","Sporthalle, Wärmeversorgung über
Neumannstr. 65"
Borkumstr. 13,Rosa-Luxemburg-Gymnasium,13189,Fernwärme,"138,055",-,"138,055",MEB
Borkumstr. 16,Rosa-Luxemburg-Gymnasium,13189,Gas,"231,095","6,614","237,709",
Breite Str. 8,Kleine Galerie Pankow,13187,,-,"12,449","12,449",
Brixener Str. 40,Klecks-Grundschule,13187,Wärmepumpe,-,"15,655","15,655",Wärmepumpe
Brixener Str. 40,Klecks-Grundschule,13187,Gas,"357,222","44,500","401,722",Versorgung mehrerer Gebäude BHKW
Brodenbacher Weg 31,Grundschule im Moselviertel,13088,Fernwärme,"431,618","69,149","500,767",Versorgung mehrerer Gebäude
Buchholzer Str. 3,Elisabeth-Christinen-Grundschule,13156,Gas,"844,075","36,050","880,125",Versorgung mehrerer Gebäude
Buchholzer Str. 8,Friedhof,13158,Flüssiggas,"21,606","2,956","24,562",Versorgung mehrerer Gebäude
Buchhorster Str. 1,Sportanlage,13158,Fernwärme,-,"42,780","42,780",Versorgung mehrerer Gebäude
Buschallee 50a,Tennisanlage,13088,Gas,"37,809",-,"37,809",Strom wird nachgereicht
Buschallee 87,Tanzhaus,13088,Fernwärme,"59,496","5,418","64,914",
Chamissostr. 9-11,Sportfunktionsgebäude,13127,Gas,"110,301","28,018","138,319",
Charlottenburger Str. 117,Jugendfreizeit,13086,Flüssiggas,"158,559","27,524","186,083",
Charlottenstr. 19-22,Grundschule im Hasengrund,13156,Gas,"604,681","76,900","681,581",Versorgung mehrerer Gebäude
"Charlottenstr. 19-22/
Straße 18 Nr:37",Hasengrund-Schule (TH),13156,Gas,"101,475","98,827","200,302",
Chiliweg 20 y,Wegbeleuchtung Kolonie Einigkeit,13158,Strom,-,"20,544","20,544",
Christburger Str. 7/Winsstraße 49,"Grundschule an der
Marie/Musikschule Weißensee",10405,Gas,"711,018","145,275","856,293",Versorgung mehrerer Gebäude
Clementweg 24d,"Friedhof, Feierhalle",13127,Gas,"78,592","4,607","83,199",Versorgung mehrerer Gebäude
Conrad-Blenkle-Str. 52-57,Tesla-Schule,10407,Fernwärme,-,"1,303","1,303",
Conrad-Blenkle-Str. 34/Kniprode 29,Gymnasium am Europasportpark,10407,Fernwärme,"1,267,732","175,050","1,442,782",Versorgung mehrerer Gebäude
Danziger Str. 111,Jugendfreizeiteinrichtung,10409,Fernwärme,"68,086","7,580","75,666",Versorgung mehrerer Gebäude
Danziger Str. 50,Grundschule im Hofgarten,10409,Gas,"543,492","50,880","594,372",Versorgung mehrerer Gebäude BHKW
Darßer Str. 201/Nachtalbenweg 60,"Werkhof, Halle mit Sozialtrakt",13088,Gas,"213,560","114,860","328,420",Versorgung mehrerer Gebäude
