Adresse,Namer der Einrichtung,plz,Wärmemedium,2020 Wärme,2020 Strom
Achillesstr. 14,Jugendfreizeit,13125,Fernwärme,"135,169","34,650"
Achillesstr. 31,Grundschule im Panketal,13125,Fernwärme,"905,916","87,023"
Achillesstr. 77-79,Robert-Havemann-Schule,13125,Fernwärme,"1,985,010","453,154"
Alt-Blankenburg 26,Grundschule unter den Bäumen,13129,Gas,"556,674","58,600"
Am Bürgerpark 24,"Verwaltungsgebäude/Blumenhalle/
Feierhalle/Garagen",13156,ÖL,"30,171",-
Am Schloßpark 20,"Musikschule, Hauptgebäude",13187,Gas,"142,888",653
Amalienstr. 1,"Kita, fr. Tr.",13086,Gas,"84,288","36,936"
Amalienstr. 6-8,Grundschule am Weißen See,13086,Gas,"616,965","53,000"
Amalienstr. 8,Standesamt,13086,Gas,-,"5,158"
Anton-Saefkow-Str. 33,Revier- /Gärtnerstützpunkt,10407,Gas,"32,372","7,766"
Anton-Saefkow-Str. 8000,Brunnen Greifswalder Straße/Anton- Saefkow-Straße (Knabe mit Fisch),10407,,-,"5,158"
Arnouxstr. 18,Schule am Birkenhof,13127,Fernwärme,"677,132","131,736"
Bahnhofstr. 32,Grundschule Alt-Karow,13129,Gas,"588,977","54,820"
Bedeweg 1,Grundschule am Hohen Feld,13125,Fernwärme,,
Belforter Str. 8000,"Wasserturm Belforter Straße
(Großer Wasserspeicher)",10405,,-,"3,351"
Berliner Allee 100,Dienstgebäude,13088,Gas,"290,681","17,887"
Berliner Allee 252-260,Dienstgebäude,13088,Fernwärme,"1,023,803","296,622"
Binzstr. 61c,Sportfunktionsgebäude,13189,Fernwärme,"114,699","6,599"
Bizetstr. 27,Weiterbildung/Musikschule,13189,Fernwärme,"87,963","3,342"
Blankenfelder Str. 106,Spielhaus,13127,Fernwärme,"14,750","3,413"
Blankenfelder Str. 50,Jugendfreizeit,13127,Fernwärme,"72,130","10,872"
Borkumstr. 13,Rosa-Luxemburg-Gymnasium,13189,Fernwärme,-,"6,107"
Borkumstr. 13,Rosa-Luxemburg-Gymnasium,13189,Fernwärme,"110,289","2,477"
Borkumstr. 16,Rosa-Luxemburg-Gymnasium,13189,Gas,"190,921","5,170"
Breite Str. 8,Kleine Galerie Pankow,13187,,-,"2,721"
Brixener Str. 40,Klecks-Grundschule,13187,Wärmepumpe,"4,429","15,254"
Brixener Str. 40,Klecks-Grundschule,13187,Gas,"309,259",-
Brodenbacher Weg 31,Grundschule im Moselviertel,13088,Fernwärme,"372,007","79,912"
Buchholzer Str. 3,Elisabeth-Christinen-Grundschule,13156,Gas,"945,501","67,000"
Buchholzer Str. 8,Friedhof,13156,Flüssiggas,-,"3,545"
Buchhorster Str. 1,Sportanlage,13158,Fernwärme,"29,820","105,151"
Buschallee 50a,Tennisanlage,13088,Gas,"43,135",-
Buschallee 87,Tanzhaus,13088,Fernwärme,"57,852","3,096"
Caligariplatz 1 / Prenzlauer Promenade 3,Remise,13088,Strom,"180,908",-
Chamissostr. 9-11,Sportfunktionsgebäude,13127,Gas,"41,517","40,499"
Charlottenburger Str. 117,Jugendfreizeit,13086,Flüssiggas,"108,053","13,750"
Charlottenstr. 19-22,Grundschule im Hasengrund,13156,Gas,"357,988","41,250"
"Charlottenstr. 19-22/
Straße 18 Nr:37",Hasengrund-Schule (TH),13156,Gas,"92,944","95,281"
Chiliweg 20 y,Wegbeleuchtung Kolonie Einigkeit,13158,Strom,-,"5,635"
Christburger Str. 7/Winsstraße 49,"Grundschule an der
Marie/Musikschule Weißensee",10405,Gas,"784,918","134,914"
Clementweg 24d,"Friedhof, Feierhalle",13127,Gas,"74,972","4,147"
Conrad-Blenkle-Str. 20,MEB,13127,Fernwärme,"132,387","51,727"
Conrad-Blenkle-Str. 34/Kniprode 29,Gymnasium am Europasportpark,10407,Fernwärme,"1,117,182","259,904"
Danziger Str. 111,Jugendfreizeiteinrichtung,10409,Fernwärme,"49,767","5,911"
Danziger Str. 50,Grundschule im Hofgarten,10409,Gas,"541,500",-
Darßer Str. 201/Nachtalbenweg 60,"Werkhof, Halle mit Sozialtrakt",13088,Gas,"226,847","105,998"
Darßer Str. 203,Dienstgebäude,13088,Gas,"188,453","88,799"
Diedenhofer Str. 1,Kleiner Wasserspeicher,10405,,-,"5,000"
Dietzgenstr.  187,Sportanlage,10407,Gas,"172,090","39,856"
Dietzgenstr. 104 (ehemals Blankenfelder 9-11),"Kita, fr. Tr.",10407,Gas,"361,814","55,150"
Dietzgenstr. 18 z,"Beleuchtung Kunststehle
Dietzgenstraße",10407,,-,500
Dietzgenstr. 47,Max-Delbrück-Gymnasium,13158,,-,"53,565"
Dolomitenstr. 94,Janusz-Korczak-Schule,13187,Gas,"321,950","68,211"
Dunckerstr. 59,Sportzentrum,10439,,-,"5,230"
Dunckerstr. 64,Heinrich-Schliemann-Gymnasium,10439,Gas,"1,575,525","204,502"
Dunckerstr. 65-66,Käthe-Kollwitz-Gymnasium,10439,Gas und Fernwärme,"735,641","93,199"
Dusekestr. 14-22,"Kita, fr. Tr.",13187,Fernwärme,"210,328",-
Eldenaer Str. 36/45,Revier- /Gärtnerstützpunkt,10247,Fernwärme,"5,752","1,546"
Ella-Kay-Str. 2,Hockeyplatz,10405,,-,"13,700"
Ella-Kay-Str. 47,Grundschule am Planetarium,10405,Fernwärme,"495,076","64,100"
Erich-Weinert-Str. 70,"Wilhelm-von-Humboldt-
Gemeinschaftsschule",10439,Gas/Fernwärme,"686,996","80,950"
Ernst-Busch-Str. 27-29,Marianne-Buggenhagen-Schule,13125,Fernwärme,"127,382","203,823"
Eschengraben 40,Trelleborg-Schule,13189,Fernwärme,"909,979","38,000"
Eschengraben 49,"Kita, fr. Tr.",13189,Fernwärme,"205,782","40,800"
Thulestr. 39-41,Trelleborg-Schule,10409,Fernwärme,-,"49,100"
Esmarchstr. 27,Kinder Klub Die 7,10407,Gas,"29,292","2,208"
Eugen-Schönhaar-Str. 18,"Felix-Mendelssohn-Bartholdy-
Gymnasium",10407,Gas,"36,676","111,698"
Falkenberger Str. 31,Ausweichstandort z. Zt. für 03G17,13088,Fernwärme,"690,388","37,100"
Forchheimer Str.  6,Revier-/ Gärtnerstützpunkt,13088,Gas,"30,512","2,237"
Forchheimer Str. 22,Vereinsheim,13189,Gas,"14,581","23,338"
Franz-Schmidt-Str. 8-10,Beratungshaus,13125,Fernwärme,"114,586","29,560"
Friedrich-Richter-Str. 8-10,Haus 1,13125,Fernwärme,"329,715","9,030"
Galenusstr. 51,"GAS / SUZ, Bungalow (alt Nr.1)",13187,Gas,"379,009","17,587"
Galenusstr. 64,Panke-Schule,13187,Gas/Fernwärme,-,"35,499"
Georg-Blank-Str. 23,Revier-/ Gärtnerstützpunkt,10409,Fernwärme,"17,903",-
Germanenstr. 1,"Friedhof, Feierhalle",13156,Gas,"48,073",-
Gernroder Str. 6-8,Jugendfreizeit,13129,Gas,"36,096","6,941"
Gleimstr. 49,Schule am Falkplatz,10437,Gas/Fernwärme,"1,194,899","145,842"
Goethestr. 09,Grundschule Wilhelmsruh,10409,Fernwärme,"78,795","9,445"
Görschstr. 42-44,Carl-von-Ossietzky-Gymnasium,13187,Fernwärme/Gas,"790,952","188,145"
Gounodstr. 71,Picasso-Grundschule,13088,Fernwärme,"589,798","125,900"
Grabbeallee  33,Hauptgebäude,13088,Gas,-,"5,177"
Greifenhagener Str. 58-59,Thomas-Mann-Grundschule,10437,Gas,"690,162","110,552"
Greifswalder Str.  25 / Bötzowstr. 11,Kurt-Schwitters-Schule,10437,Fernwärme/Gas,"1,658,972","124,034"
Große Seestr. 10/8000,"Freilichtbühne Weißensee ab
01.05.2010 -30.09.2010 Lifo",13086,,-,"3,760"
Große Seestr. 14a,"Revier-/ Gärtnerstützpunkt,
Container, Tanklager",13086,Gas,"53,946","64,907"
Grunowstr. 17,Elizabeth-Shaw-Grundschule,13187,Fernwärme,"616,278","94,294"
Grunowstr. 17,Elizabeth-Shaw-Grundschule,13187,Fernwärme,"82,451",-
Grunowstr. 8-11,Verwaltungsgebäude,13187,Fernwärme,"453,059","64,800"
Gudvanger Str.  16-20,Schule,13187,Fernwärme,"471,631","116,253"
Gürtelstr. 25,"Kita ""Raupe Nimmersatt"" ab
01.01.2006 vermietet an Jugendwerk Aufbau Ost JAO gGmbH",10247,Fernwärme,"58,970",-
Gustav-Adolf-Str. 21,Schule am Hamburger Platz,13086,Fernwärme,"312,445","63,227"
Gustav-Adolf-Str. 60,Hagenbeck-Schule,13086,Fernwärme,"371,502","106,960"
Gustav-Adolf-Str. 60,Hagenbeck-Schule,13086,Fernwärme,"92,531","7,471"
Hadlichstr. 3,Jugendfreizeiteinrichtung,13187,Gas,"155,356","10,742"
Haduweg 60 y,"Beleuchtung Parkanlage
(Arboretum)",13125,,-,627
Hanns-Eisler-Str. 78-80,Gustave-Eiffel-Schule,10409,Fernwärme,"952,866","84,750"
Hanns-Eisler-Str. 91,Sportzentrum,10409,Fernwärme,"66,690","15,306"
Hansastr.  182-190,SpA,10409,Gas,-,"50,979"
Hansastr. 182a,Verwaltungsgebäude,10407,Fernwärme,"761,230","133,781"
