lfd. Nr.,Liegenschaft,Adresse,PLZ,Art der Wärme- versorgung,Wärme-verbrauch witterungs-bereinigt [kWh],Strom-verbrauch [kWh],Bemerkungen
,,,,,2020,2020,
1,"Helene-Lange-Gesamtschule - ehem. Frh. von
Hünefeld-GS",Lauenburgerstr.114,12169,Fernwärme,,"36,379",Wärmeversorgung aus Nr. 20
2,Sachsenwald - Grundschule,Sachsenwaldstr. 20 - 21,12157,Fernwärme,"507,535","60,291",
3,Dunant- Grundschule,Gritznerstr.19 - 23,12163,Fernwärme,"750,191",,Stromversorgung aus Nr. 31
4,Grundschule am Insulaner,Hanstedter Weg 11,12169,Fernwärme,"635,818","66,400",
5,Athene - Grundschule,Curtiusstr. 37 - 41,12205,Fernwärme,"626,388","157,438",versorgt mit Strom externe Kita
6,Alt Lankwitzer Grundschule,Schulstr.17-27,12247,Gas,"458,945","43,450",
7,Paul Schneider Grundschule,Seydlitzstr. 30 - 40,12249,Gas,"841,100","145,099",
8,Giesensdorfer  - Grundschule,Ostpreußendamm 63,12207,Gas,"427,109","57,738",
9,Kronach - Grundschule,Moltkestr. 24-26,12203,Gas,"1,019,252","132,784",
10,Grundschule unter den Kastanien,Kastanienstraße 7,12209,Gas,"741,956","88,500",
11,Clemens-Brentano Grundschule,Kommandantenstr. 83-84,12205,Fernwärme,"483,001","42,638",
12,Käthe Kruse Grundschule,Tietzenweg. 108,12203,Gas,"424,754","65,629",
13,Grundschule am Königsgraben,Gallwitzallee 136 - 144,12249,Gas,"534,640","85,790",
14,Ludwig-Bechstein-Grundschule,"Halbauer Weg, 25",12249,Gas,"462,951","62,105",
15,Grundschule am Karpfenteich,Hildburghauserstr. 135-145,12209,Gas,"491,180","69,995",
16,Mercator Grundschule,Mercatorweg 8 -10,12207,Fernwärme,"687,891","48,857",
17,Grundschule an der Bäke,Haydnstr.11-15,12203,Fernwärme,"510,541","113,935",
18,"Johann-Thienemann Oberschule & Markus-
Grundschule",Karl-Stieler Str. 10,12167,Fernwärme,"399,532","46,969",
19,Nikolaus-Augustus-Otto Oberschule,Tietzenweg 101-113,12203,Gas,"613,986","116,644",
20,"Helene-Lange-Gesamtschule - ehem. Friedrich-
Bayer-OS",Lauenburgerstr.110,12169,Fernwärme,"1,398,981","70,168",versorgt mit Wärme: Nr. 1; 25
21,Max von Laue Oberschule,Dürerstr. 27,12203,Gas,"621,092","62,120",
22,Schmidt-Ott-Oberschule,Plantagenstr.8-10,12169,Gas,"286,864","29,950",
23,Beethoven -Oberschule,Barbarastr.9,12249,Gas,"990,991","166,959",
24,Paulsen-Gymnasium,Gritznerstr. 57,12163,Gas,"815,954","78,023",
25,Hermann Ehlers Oberschule,Elisenstr.3-4,12169,Fernwärme,"1,296","73,678",Wärmeversorgung aus Nr. 20
26,"Fichtenberg Oberschule & Rothenburg-
Grundschule",Rothenburgstr. 16-18,12165,Fernwärme,"1,025,646","162,515",
27,Lilienthal Oberschule,Ringstr.2-3,12203,Gas,"836,508","133,469",
28,Goethe Oberschule,Drakestr.72-75,12205,Fernwärme,"733,049","167,868",
29,Willi-Graf-Oberschule,Ostpreußendamm 166-167,12207,Gas,"934,143","120,697",
30,Gymnasium Steglitz,Heesestr. 15,12169,Gas,"745,284","107,302",
31,Kopernikus Oberschule,Lepsiusstr. 24-28,12163,Fernwärme,"1,012,956","309,574",versorgt mit Strom: Nr. 3
32,Turnhalle der ehem. Kopernikus Oberschule,"Ostpreußendamm 108 /
Lippstädter Str .5",12207,Fernwärme,"431,921","116,558",
33,Bröndby Oberschule,Dessauerstr. 63,12249,Gas,"39,293","320,976",anteilige Wärmeversorgung aus Nr. 35
34,Friedrich-Drake-Grundschule,Drakestr.80,12205,Fernwärme,"233,273","61,726",
35,Paul-Braune-Schule / Beethoven-OS-Filiale,Dessauerstraße 49-55,12249,Gas,"1,879,959","69,933",versorgt mit Wärme Nr. 33
36,Johann-August-Zeune-Schule,Rothenburgstr.14,12165,Fernwärme,"928,383","177,947",
37,Peter-Frankenfeld-Schule,Wedellstr. 26,12247,Gas,"606,471","116,190",
38,Freilandlabor - Steglitz,Gärtnerstr. 14-16,12207,"Nachtspeicherh
eizung","23,122","1,405",
39,Nord-Grundschule,Potsdamer Str. 7,14163,Gas,"755,516",,Stromversorgung aus Nr. 184
40,Süd-Grundschule,Claszeile 56,14165,Gas,"166,488","90,700",
41,Johannes-Tews-Grundschule,"Wasgenst.50 // Tewsstr.23/16a  // V-Luck-Str.
24",14129,Gas,"332,405","220,528","anteilige Wärmeversorgung und Stromversorgung aus Nr. 57; versorgt
mit Strom Nr. 57; 171"
42,Erich-Kästner-Grundschule,Bachstelzenweg 2-8,14195,Gas,"1,066,663","92,939",
43,Conrad-Grundschule,Schulstr. 4,14109,Gas,"950,658","261,076","versorgt mit Strom: Nr. 67; 71; 100; 101; 141 sowie Kita Alsenstraße (LEB ""Süd-
West"")"
44,Mühlenau-Grundschule,Molsheimer Str. 7,14195,Fernwärme,"691,776","89,347",
45,Zinnowald-Grundschule,Wilskistr.78-80,14163,Gas,"980,167","800,567","versorgt mit Strom: Nr. 51; 59; 102; 105;
173; 174 sowie Kita Wilskistraße 75 (LEB ""Süd-West"")"
46,Schweizerhof-Grundschule,Leo-Baeck-Str. 28-30,14167,Gas,"18,777",,"anteilige Wärmeversorgung aus Nr. 72;
Stromversorgung aus Nr. 61"
47,Dreilinden-Oberschule,Dreilindenstr. 47-49,14109,Gas,"1,302,542","196,851",versorgt mit Wärme und Strom Nr. 48
48,Dreilinden-Grundschule,Dreilindenstr. 65,14109,Gas,,,"Wärme- und Stromversorgung aus Nr.
47"
49,Grundschule am Buschgraben,Ludwigsfelder Str. 43-47,14165,Gas,"466,144","63,746",
50,Nikolaus-August-Otto-Oberschule - Filiale,"Am Rohrgarten 7, 9",14109,Gas,"522,282","101,347","versorgt mit Strom Kita Am Rohrgarten
(Freier Träger)"
51,Leistikow-Turnhalle,Hartmannsweilerweg 65,14163,Gas,"218,847",,Stromversorgung aus Nr. 45
52,Schadow-Oberschule - ehem. Realschule,Beuckestr. 25,14163,Gas,"1,693,951",,versorgt mit Wärme Nr. 54
53,Gail S. Halvorsen Oberschule,Im Gehege 6-8,14195,Gas,"787,610","57,250",
54,Schadow-Oberschule - ehem. Gymnasium,Beuckestr. 27-29,14163,Gas,"45,100","295,457","versorgt mit Strom Nr. 52; 129;
Wärmeversorgung aus Nr. 52"
55,Droste-Hülshoff-Oberschule,Schönower Str. 8,14165,Gas,"853,175","125,664",
56,Arndt-Oberschule,Königin-Luise-Str. 80-84/85,14195,Gas,"1,172,994","174,621",
57,Werner-von-Siemens-Oberschule,Beskidenstr. 1; 1-5; 7,14129,Gas,"1,377,517",566,anteilige Stromversorgung aus Nr. 41
58,Wilma-Rudolf-Gesamtschule,Am Hegewinkel 2a,14167,Fernwärme,"1,293,483","281,145",
59,Pestalozzi-Sonderschule,Hartmannsweilerweg 47,14163,Gas,"358,770",,Stromversorgung aus Nr. 45
60,"Biesalski-Sonderschule, Quentin-Blake- Grundschule & Staatl. Europa-Schule",Hüttenweg 40,14167,Fernwärme,"1,440,475","418,226","versorgt mit Strom: Nr. 103; 104 sowie Kita Flanaganstraße (LEB ""Süd-West"")"
61,John-F.-Kennedy-Schule,Teltower Damm  87 - 93,14167,Gas,"4,809,564","1,074,892","versorgt mit Strom Nr. 46; 72;
Liegenschaft ist ab dem 01.01.2019 von BIM GmbH verwaltet"
62,HORT Gallwitzallee 116,Gallwitzallee 116,12249,Gas,"90,761","2,733",
63,HORT Langkofelweg 18,"Langkofelweg, 18",12247,Gas,"114,639","18,380",
64,HORT Murtenerstraße 10,Murtenerstr.10a,12205,Gas,"134,941","14,154",
65,HORT Treitschkestraße 28-30,Treitschkestr. 28-30,12163,Gas,"193,879","7,329",
66,JFH - Schottenburg / Verkehrsgarten,Brittendorfer Weg 16+16b,14167,Fernwärme,"244,002","31,547",
67,Kita Chausseestraße  27,Chausseestr. 27 - 28,14109,Gas,"96,549",,Stromversorgung aus Nr. 43
68,HORT Claszeile 57,Claszeile 57,14165,Gas,"257,792","25,500",
69,HORT Ihnestraße,Ihnestr. 74-76,14195,Fernwärme,"97,875","27,406",
