"lfd.
Nr.",Liegenschaft,Adresse,PLZ,"Wärme-
versorgung",Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
1,ehem. Schulgebäude Adalbertstraße,Adalbertstr. 53,10179,Fernwärme,,"2,720","Stromversorgung durch Nr. 85, Abriss Gebäude 2019"
2,"Möwensee Grundschule, Kita Kindergärten City",Afrikanische Str. 123-125,13351,Fernwärme,"958,468","291,477",
3,Hansabibliothek,Altonaer Str. 15,10557,Fernwärme,"128,156","36,811",
4,Gymnasium Tiergarten / Hansa-Grundschule,Altonaer Str. 26 / Lessingstr. 5,10555,Fernwärme,"1,256,255","291,353",
5,Wedding Grundschule,Antonstr. 10-11,13347,Fernwärme,"1,168,071","86,500",
6,Fil. Grundschule am Koppenplatz,Auguststr. 21 Hinterhaus,10117,Fernwärme,"263,813","39,850",
7,Bibliothek am Luisenbad,Badstr. 39,13357,Gas,"350,637","167,036",
8,Fil. Grundschule am Koppenplatz,Bergstr. 3-9,10115,Gas,"495,420","85,700",
9,Fil. Papageno Grundschule,Bergstr. 58,10115,Gas,"100,954","17,441",
10,Papageno Grundschule,Bergstr. 58,10115,Gas,"399,660","140,752",
11,Charlotte-Pfeffer-Schule,Berolinastr. 8,10178,Fernwärme,"479,121","236,728",
12,Charlotte-Pfeffer-Schule,Berolinastr. 8,10178,Heizöl,"150,846",-,2019 Zusatzbeheizung Mensa-Container
13,Diesterweg-Gymnasium,Böttgerstr. 2,13357,Fernwärme,"1,488,466","130,417",
14,Diesterweg-Gymnasium,Böttgerstr. 4-6,13357,"Gas, WW","8,268",-,Warmwasser Sporthalle
15,Jugendverkehrsschule Bremer Straße,Bremer Str. 10,10551,"Strom, Heizung","24,454","2,538",
16,Philip-Schaeffer-Bibliothek,Brunnenstr. 181,10119,,,"117,597","Wärmeversorgung unbekannt, Mietobjekt"
17,GS am Nordhafen (ehm. 48. GS),Boyenstr. 1-9,13353,"Strom, WP","1,556","33,200",
18,Vineta-Grundschule,Demminer Str. 27-28,13355,Gas,"646,300","57,500",
19,Französisches Gymnasium,Derfflingerstr. 7-8,10785,Fernwärme,"1,066,955","282,930",Abgabe Mitte 06/2019
20,Rudolf-Wissell-Grundschule,Ellerbeker Str. 7-8,13357,Gas,"1,159,646","96,584",
21,Hemingway-Schule,Gartenstr. 10,10115,Gas,"717,220","112,685",
22,Sporthalle Kastanienbaum-Grundschule,Gipsstr. 23A,10119,Fernwärme,"94,985",,Stromversorgung durch Nr. 23
23,Kastanienbaum-Grundschule,Gipsstr. 23A,10119,Gas/Fernwärm,"364,043","67,650",ab 08/2019 Fernwärme
