"lfd.
Nr.",Liegenschaft,Adresse,PLZ,"Wärme-
versorgung",Wärmeverbrauch witterungsbereinigt [kWh],Stromverbrauch [kWh],Bemerkungen
1,ehem. Schulgebäude Adalbertstraße,Adalbertstr. 53,10179,Fernwärme,,0,"Stromversorgung durch Nr. 85, Abriss Gebäude 2019"
2,"Möwensee Grundschule, Kita Kindergärten City",Afrikanische Str. 123-125,13351,Fernwärme,"1,182,144","260,112",
3,Hansabibliothek,Altonaer Str. 15,10557,Fernwärme,"120,302","16,887",
4,Gymnasium Tiergarten / Hansa-Grundschule,Altonaer Str. 26 / Lessingstr. 5,10555,Fernwärme,"1,376,582","262,993",
5,Wedding Grundschule,Antonstr. 10-11,13347,Fernwärme,"1,192,425","83,400",
6,Fil. Grundschule am Koppenplatz,Auguststr. 21 Hinterhaus,10117,Fernwärme,"225,267","31,300",
7,Bibliothek am Luisenbad,Badstr. 39,13357,Gas,"342,842","167,082",
8,Fil. Grundschule am Koppenplatz,Bergstr. 3-9,10115,Gas,"482,458","82,950",
9,Fil. Papageno Grundschule,Bergstr. 58,10115,Gas,"89,835","15,646",
10,Papageno Grundschule,Bergstr. 58,10115,Gas,"446,985","153,813",
11,Charlotte-Pfeffer-Schule,Berolinastr. 8,10178,Fernwärme,"493,901","210,458",
12,Charlotte-Pfeffer-Schule,Berolinastr. 8,10178,Heizöl,"77,960",-,2019 Zusatzbeheizung Mensa-Container
13,Diesterweg-Gymnasium,Böttgerstr. 2,13357,Fernwärme,"1,316,458","106,573",
14,Diesterweg-Gymnasium,Böttgerstr. 4-6,13357,"Gas, WW","9,501",-,Warmwasser Sporthalle
15,Jugendverkehrsschule Bremer Straße,Bremer Str. 10,10551,"Strom, Heizung","28,069","2,202",
16,Philip-Schaeffer-Bibliothek,Brunnenstr. 181,10119,,,"100,404","Wärmeversorgung unbekannt, Mietobjekt"
17,GS am Nordhafen (ehm. 48. GS),Boyenstr. 1-9,13353,"Strom, WP","5,133","49,800",
18,Vineta-Grundschule,Demminer Str. 27-28,13355,Gas,"776,610","51,550",
19,Französisches Gymnasium,Derfflingerstr. 7-8,10785,Fernwärme,-,-,Abgabe Mitte 06/2019
20,Rudolf-Wissell-Grundschule,Ellerbeker Str. 7-8,13357,Gas,"1,172,432","85,600",
21,Hemingway-Schule,Gartenstr. 10,10115,Gas,"801,940","135,064",
22,Sporthalle Kastanienbaum-Grundschule,Gipsstr. 23A,10119,Fernwärme,"94,583",,Stromversorgung durch Nr. 23
23,Kastanienbaum-Grundschule,Gipsstr. 23A,10119,Gas/Fernwärm,"352,031","57,750",ab 08/2019 Fernwärme
24,Wilhelm-Hauff-Grundschule,"Gotenburger Str. 6, 8",13359,Gas,"2,076,591","101,765",
25,ehem. Wilhelm-Busch-Schule,"Gotenburger Str. 7, 9",13359,Gas,,"156,350",Wärmeversorgung durch Nr. 24
26,Jugendverkehrsschule Gottschedstraße,Gottschedstr. 23,13357,Gas,"26,635","1,667",
27,Humboldthain-Grundschule,Grenzstr. 7-8,13355,Gas,"519,328","64,650",
