Nr.,Liegenschaft / Objekt,Adresse,PLZ,Art der Wärme- versorgung,"Wärmeverbrauch (witterungsbereinigt)
[kWh]","Stromverbrauch
[kWh]"
1,Ahorn-Schule,Peter-Hille-Str. 118,12587,Fernwärme,"488,179","58,900"
2,Ahorn-Schule,Stillerzeile 100,12587,Erdgas,"134,231","45,990"
3,Albatros-Schule,Treskowallee 222,12459,Erdgas,"912,721","108,531"
4,Alexander-von-Humboldt-Schule,Oberspreestr. 173,12555,Erdgas,"1,580,704","111,068"
5,Alexander-von-Humboldt-Schule,Flemmingstr. 38,12555,Erdgas,"124,104","6,599"
6,Amtsfeld-Schule,Pablo-Neruda-Str. 8,12559,Fernwärme,"405,585","55,315"
7,Amtsfeld-Schule,Salvador-Allende-Str. 93-95,12559,Fernwärme,"139,634","23,365"
8,Anna-Seghers-Schule,Radickestr. 43,12489,Fernwärme,"1,702,224","260,234"
9,Anne-Frank-Schule,Uranusstr. 15-17,12524,Fernwärme,"988,389","170,910"
10,Archenhold-Gymnasium,Rudower Str. 7,12439,Fernwärme,"1,066,573","232,965"
11,Ballspielhalle Friedenstraße,Friedenstr. 1,12555,Erdgas,"527,211","212,664"
12,BDG Amtsstraße,Amtsstr. 1,12555,Fernwärme,"160,016","28,932"
13,BDG Bürgerhaus Altglienicke,Ortolfstr. 182-184,12524,Fernwärme,"249,410","46,205"
14,BDG Freiheit 16,Freiheit 16,12555,Erdgas,"326,186","84,426"
15,BDG Friedrichshagener Straße,Friedrichshagener Str. 8,12555,Erdgas,"184,259","11,012"
16,BDG Groß-Berliner-Damm,Groß-Berliner Damm 154,12489,Fernwärme,"171,299","75,200"
17,BDG Hans-Schmidt-Str. 10,Hans-Schmidt-Str. 10,12489,Fernwärme,"205,568","84,540"
18,BDG Hans-Schmidt-Str. 16,Hans-Schmidt-Str. 16,12489,Fernwärme,"288,080","60,700"
19,BDG Hans-Schmidt-Str. 18,Hans-Schmidt-Str. 18,12489,Fernwärme,"284,649","66,000"
20,BDG Hasselwerder Straße,Hasselwerder Str. 22,12439,Fernwärme,"63,290","8,990"
21,BDG Michael-Brückner-Straße,Michael-Brückner-Str. 1,12439,Erdgas,"145,092","24,964"
22,BDG Myliusgarten,Myliusgarten 20,12587,Fernwärme,"166,983","20,888"
23,BDG Oberspreestraße,Oberspreestr. 181,12555,Erdgas,"30,531","2,716"
24,BDG Rinkartstraße,Rinkartstr. 13,12437,Erdgas,"456,319","71,508"
