level_0,index,facility,plz,heat_supply,heat_consumption,power_consumption,district,year,facility_type,District_Overview,Heat_Consumption_per_District,Year_Overview,Facility_Type_Overview,District_Detail,Power_Consumption_District_Facility_Type_Year,District_Results,Power_Consumption_per_District,Facility_type_Overview,power_consumption,Facility_Type_Results,Heat_Consumption_per_Facility_Type
0,0,Barnim-Schule,13057,Fernwärme,1336829,259284,Lichtenberg,2018,Schule,Lichtenberg,135604252.0,2018.0,Büro,Lichtenberg,675924.0,Lichtenberg,24436331.0,Büro,2713706.0,Büro,9167878.0
1,1,Schule am Fennpfuhl,10369,Fernwärme,332902,60886,Lichtenberg,2018,Schule,Mitte,209507587.0,2018.0,Büro,Mitte,162534.0,Mitte,45332649.0,Denkmal,1454078.0,Denkmal,5672474.0
2,2,Bürogebäude,10315,Fernwärme,418156,69230,Lichtenberg,2018,Büro,Pankow,269792520.0,2018.0,Büro,Steglitz-Zehlendorf,4823.0,Pankow,43936514.0,Kultur,15914154.0,Kultur,79756694.0
3,3,Trafostation Gewerbezentrum,10315,Fernwärme,0,226482,Lichtenberg,2018,Kultur,Steglitz-Zehlendorf,200529470.0,2018.0,Denkmal,Lichtenberg,12952.0,Steglitz-Zehlendorf,36022370.0,Other,21739394.0,Other,141220326.0
4,4,Garage,10315,Fernwärme,0,7090,Lichtenberg,2018,Other,Treptow - Kopernick,179902057.0,2018.0,Denkmal,Mitte,6387.0,Treptow - Kopernick,25983697.0,Platz,6647430.0,Platz,22026469.0
5,5,Sporthalle,10315,Fernwärme,198384,26332,Lichtenberg,2018,Sport,,,2018.0,Denkmal,Pankow,33701.0,,,Schule,101020871.0,Schule,610906487.0
6,6,Adam-Ries-Schule,10315,Fernwärme,586269,87960,Lichtenberg,2018,Schule,,,2018.0,Denkmal,Steglitz-Zehlendorf,406215.0,,,Sport,25134760.0,Sport,122266411.0
7,7,Sporthalle,13051,Fernwärme,234006,26945,Lichtenberg,2018,Sport,,,2018.0,Denkmal,Treptow - Kopernick,28778.0,,,Wohnung,1087168.0,Wohnung,4319147.0
8,8,Martin-Niemöller-Schule,13053,Fernwärme,422013,66950,Lichtenberg,2018,Schule,,,2018.0,Kultur,Lichtenberg,557776.0,,,,,,
9,9,Schule Am Breiten Luch,13053,Fernwärme,0,7440,Lichtenberg,2018,Schule,,,2018.0,Kultur,Mitte,2487544.0,,,,,,
10,10,Schule Am Breiten Luch,13053,Fernwärme,678111,39500,Lichtenberg,2018,Schule,,,2018.0,Kultur,Pankow,433518.0,,,,,,
11,11,Tennisplatz,10367,Fernwärme,0,5652,Lichtenberg,2018,Platz,,,2018.0,Kultur,Steglitz-Zehlendorf,1224917.0,,,,,,
12,12,Brunnen,10367,Fernwärme,0,1250,Lichtenberg,2018,Platz,,,2018.0,Kultur,Treptow - Kopernick,828024.0,,,,,,
13,13,Alexander-Puschkin-Schule,10315,Fernwärme,133145,15229,Lichtenberg,2018,Schule,,,2018.0,Other,Lichtenberg,483657.0,,,,,,
14,14,Sporthalle,10369,Fernwärme,67664,35586,Lichtenberg,2018,Sport,,,2018.0,Other,Mitte,168626.0,,,,,,
15,15,Brunnen,10369,Fernwärme,0,41000,Lichtenberg,2018,Platz,,,2018.0,Other,Pankow,1660165.0,,,,,,
16,16,Anton-Saefkow-Bibliothek,10369,Fernwärme,0,55497,Lichtenberg,2018,Schule,,,2018.0,Other,Steglitz-Zehlendorf,345722.0,,,,,,
17,17,Schule auf dem lichten Berg,10365,Fernwärme,410888,62463,Lichtenberg,2018,Schule,,,2018.0,Other,Treptow - Kopernick,1230188.0,,,,,,
18,18,Jugendverkehrsschule,10319,Fernwärme,149465,5258,Lichtenberg,2018,Schule,,,2018.0,Platz,Lichtenberg,81254.0,,,,,,
19,19,Schule im Ostseekarree,13051,Fernwärme,397370,54500,Lichtenberg,2018,Schule,,,2018.0,Platz,Mitte,957201.0,,,,,,
20,20,Schule am Roedernplatz,10367,Fernwärme,509559,58700,Lichtenberg,2018,Schule,,,2018.0,Platz,Pankow,557615.0,,,,,,
21,21,Schule am Roedernplatz,10367,Fernwärme,97409,17061,Lichtenberg,2018,Schule,,,2018.0,Platz,Steglitz-Zehlendorf,348962.0,,,,,,
22,22,Hans-Rosenthal-Grundschule,10367,Fernwärme,487045,57720,Lichtenberg,2018,Schule,,,2018.0,Platz,Treptow - Kopernick,340590.0,,,,,,
23,23,Sportfunktionsgebäude,10365,Erdgas H,89577,23423,Lichtenberg,2018,Sport,,,2018.0,Schule,Lichtenberg,5672961.0,,,,,,
24,24,Brunnen,10315,Fernwärme,0,1237,Lichtenberg,2018,Platz,,,2018.0,Schule,Mitte,8493134.0,,,,,,
25,25,Sportfunktionsgebäude,10365,Fernwärme,40083,11799,Lichtenberg,2018,Sport,,,2018.0,Schule,Pankow,7403983.0,,,,,,
26,26,JFE,13053,Erdgas H,67999,9542,Lichtenberg,2018,Other,,,2018.0,Schule,Steglitz-Zehlendorf,7955771.0,,,,,,
27,27,Schule Am Faulen See,13053,Erdgas H,636095,79957,Lichtenberg,2018,Schule,,,2018.0,Schule,Treptow - Kopernick,4912942.0,,,,,,
28,28,Tbc-Fürsorgestelle,10367,Fernwärme,0,26643,Lichtenberg,2018,Büro,,,2018.0,Sport,Lichtenberg,884299.0,,,,,,
29,29,Filiale Grüner Campus Malchow,13051,Fernwärme,0,60150,Lichtenberg,2018,Schule,,,2018.0,Sport,Mitte,3274874.0,,,,,,
30,30,Filiale Grüner Campus Malchow,13051,Fernwärme,942796,55900,Lichtenberg,2018,Schule,,,2018.0,Sport,Pankow,1856772.0,,,,,,
31,31,Filiale Grüner Campus Malchow,13051,Fernwärme,247125,28345,Lichtenberg,2018,Schule,,,2018.0,Sport,Steglitz-Zehlendorf,1184373.0,,,,,,
32,32,Filiale Grüner Campus Malchow,13051,Fernwärme,0,541,Lichtenberg,2018,Schule,,,2018.0,Sport,Treptow - Kopernick,1715202.0,,,,,,
33,33,JFE BetonOase,10319,Fernwärme,12186,5224,Lichtenberg,2018,Other,,,2018.0,Wohnung,Lichtenberg,19508.0,,,,,,
34,34,Immanuel-Kant-Gymnasium,10319,Fernwärme,186321,6710,Lichtenberg,2018,Sport,,,2018.0,Wohnung,Mitte,280891.0,,,,,,
35,35,Sportfunktionsgebäude,10319,Fernwärme,68047,23176,Lichtenberg,2018,Sport,,,2018.0,Wohnung,Steglitz-Zehlendorf,52286.0,,,,,,
36,36,Fil. Paul-und Charlotte-Kniese-Schule,10319,Fernwärme,618840,134810,Lichtenberg,2018,Schule,,,2019.0,Büro,Lichtenberg,670303.0,,,,,,
37,37,JFE BetonOase,10319,Fernwärme,13495,1041,Lichtenberg,2018,Other,,,2019.0,Büro,Mitte,184665.0,,,,,,
38,38,Naturschutzstation,13051,Erdgas H,61436,0,Lichtenberg,2018,Other,,,2019.0,Büro,Steglitz-Zehlendorf,5753.0,,,,,,
39,39,Gut Falkenberg,13057,Erdgas H,44984,73979,Lichtenberg,2018,Kultur,,,2019.0,Denkmal,Mitte,10790.0,,,,,,
40,40,Sporthalle,13053,Fernwärme,170798,15167,Lichtenberg,2018,Sport,,,2019.0,Denkmal,Pankow,69491.0,,,,,,
41,41,Gewerbeobjekt,13059,Fernwärme,77489,4614,Lichtenberg,2018,Büro,,,2019.0,Denkmal,Steglitz-Zehlendorf,390301.0,,,,,,
42,42,Gewerbeobjekt,13059,Fernwärme,66634,0,Lichtenberg,2018,Büro,,,2019.0,Denkmal,Treptow - Kopernick,38794.0,,,,,,
43,43,Bürogebäude,13059,Fernwärme,147893,67400,Lichtenberg,2018,Büro,,,2019.0,Kultur,Lichtenberg,255458.0,,,,,,
44,44,Richard-Wagner-Schule,10318,Erdgas H,482770,54513,Lichtenberg,2018,Schule,,,2019.0,Kultur,Mitte,2321274.0,,,,,,
45,45,Richard-Wagner-Schule,10318,Fernwärme,0,27799,Lichtenberg,2018,Schule,,,2019.0,Kultur,Pankow,549380.0,,,,,,
